Package Name,Benign Domains,Benign IPs,Benign Traffic,Ad Domains,Ad IPs,Ad Traffic,Tracking Domains,Tracking IPs,Tracking Traffic,Suspected Benign IPs,Suspected Benign Traffic,Suspected Ad Domains,Suspected Ad IPs,Suspected Ad Traffic,Suspected Tracking Domains,Suspected Tracking IPs,Suspected Tracking Traffic
34,5595226,,,,,,3,2867209,,,,1,295,,,,
16,7390527,,,,,,1,179493,,,,0,0,,,,
30,4922294,,,,,,2,229934,,,,1,90836,,,,
99,34078343,,,,,,29,3923640,,,,7,229816,,,,
4,3901970,,,,,,0,0,,,,0,0,,,,
54,53979966,,,,,,3,535227,,,,2,29687,,,,
61,36545177,,,,,,14,7579954,,,,4,95875,,,,
31,11900681,,,,,,1,6450,,,,2,170482406,,,,
21,8510948,,,,,,3,344657,,,,0,0,,,,
44,16624667,,,,,,16,12038966,,,,1,915,,,,
16,76314,,,,,,4,191040,,,,1,361,,,,
8,25063,,,,,,1,193,,,,0,0,,,,
28,24220912,,,,,,3,1383814,,,,1,91113,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NON-GAMES,,,,,,,,,,,,,,,,,
Overall Benign Ips,Non-games,,,,,,Overall Ad Ips,Non-games,,,,Overall Tracking Ips,Non-games,,,,
13,686356,,,,,,4,153897,,,,0,0,,,,
50,26974362,,,,,,6,2693427,,,,0,0,,,,
6,225381,,,,,,1,9885,,,,0,0,,,,
127,47812089,,,,,,14,283753,,,,3,43369,,,,
26,6684968,,,,,,1,4432,,,,0,0,,,,
5,1957931,,,,,,0,0,,,,0,0,,,,
2,254950,,,,,,1,112234,,,,1,1872,,,,
24,1275503,,,,,,1,1158,,,,1,48351,,,,
11,451032,,,,,,0,0,,,,0,0,,,,
,,,,,,,0,0,,,,0,0,,,,
4,102447,,,,,,0,0,,,,0,0,,,,
13,2184123,,,,,,0,0,,,,0,0,,,,
,,,,,,,0,0,,,,0,0,,,,
,,,,,,,1,5019,,,,1,24451,,,,
17,1630137,,,,,,0,0,,,,0,0,,,,
10,296121,,,,,,2,2699,,,,0,0,,,,
108,47769229,,,,,,12,510677,,,,1,75835,,,,
1,63501,,,,,,0,0,,,,0,0,,,,
2,252873,,,,,,0,0,,,,0,0,,,,
7,3017084,,,,,,0,0,,,,0,0,,,,
8,506684,,,,,,0,0,,,,0,0,,,,
,,,,,,,5,77308,,,,0,0,,,,
9,12342173,,,,,,4,4108,,,,0,0,,,,
117,79428763,,,,,,26,519126,,,,2,92367,,,,
33,4748721,,,,,,4,1011039,,,,2,19828,,,,
2,18610214,,,,,,0,0,,,,0,0,,,,
11,2231334,,,,,,2,59754,,,,0,0,,,,
19,783299,,,,,,0,0,,,,0,0,,,,
31,350433,,,,,,3,40915,,,,0,0,,,,
6,2942280,,,,,,0,0,,,,0,0,,,,
,,,,,,,,,,,,,,,,,
Streaming Apps,,,,,,,,,,,,,,,,,
16,225921666,,,,,,,,,,,,,,,,
20,654141210,,,,,,,,,,,,,,,,
20,2463994,,,,,,,,,,,,,,,,
47,113830524,,,,,,,,,,,,,,,,
