Destination,Service,Src IP,Dst IP,Frame Size
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1021
104.193.88.102,benign,104.193.88.102,192.168.2.3,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1265
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,66
104.193.88.102,benign,192.168.2.3,104.193.88.102,988
104.193.88.102,benign,104.193.88.102,192.168.2.3,66
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
104.193.88.102,benign,104.193.88.102,192.168.2.3,1514
