App,IP,Service,Connections,Traffic Size,,,App,IP,,,,,,,# of apps connected,# of unique IPS,,
../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.108,benign,304,112822,,,../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.108,7,,,,13.32.252.170,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.108,benign,878,927091,,,../pcaps/Android9.0/com.snow.drift.apk.pcap,13.32.252.108,7,,,,13.32.252.178,1,,,,
../pcaps/Android9.0/com.mindy.grap1.apk.pcap,13.32.252.108,benign,2239,2399057,,,../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.108,7,,,,13.32.252.194,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.108,benign,3006,3279154,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.108,7,,,,13.32.252.215,1,,,,
../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,13.32.252.108,benign,4424,4317306,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.108,7,,,,13.32.252.240,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.11,benign,183,46227,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.11,2,,,,13.32.252.249,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.11,benign,375,109492,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.11,2,,,,13.32.252.30,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.112,benign,25,7906,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.112,1,,,,13.32.252.39,1,,,,
../pcaps/Android9.0/com.h8games.helixjump.apk.pcap,13.32.252.114,benign,48,21559,,,../pcaps/Android9.0/com.h8games.helixjump.apk.pcap,13.32.252.114,1,,,,13.32.252.67,1,,,,
../pcaps/Android9.0/com.snow.drift.apk.pcap,13.32.252.117,benign,799,908563,,,../pcaps/Android9.0/com.snow.drift.apk.pcap,13.32.252.117,1,,,,13.32.252.91,1,,,,
../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,13.32.252.119,benign,7,539,,,../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,13.32.252.119,1,,,,13.32.255.14,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.121,benign,12,2590,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.121,1,,,,13.32.255.239,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.123,benign,3289,4259627,,,../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.123,3,,,,13.57.77.238,1,,,,
../pcaps/Android9.0/com.parking.game.apk.pcap,13.32.252.123,benign,6438,7675345,,,../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.123,3,,,,13.94.251.209,1,,,,
../pcaps/Android9.0/com.sausageflip.game.apk.pcap,13.32.252.123,benign,14738,18593319,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.123,3,,,,13.95.170.235,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.125,benign,9,683,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,13.32.252.125,3,,,,130.248.148.107,1,,,,
../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.125,benign,794,554009,,,../pcaps/Android9.0/io.voodoo.holeio.apk.pcap,13.32.252.125,3,,,,142.147.92.5,1,,,,
../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.125,benign,815,555278,,,../pcaps/Android9.0/io.voodoo.paper2.apk.pcap,13.32.252.125,3,,,,147.75.91.150,1,,,,
../pcaps/Android9.0/com.playgendary.tanks.apk.pcap,13.32.252.130,benign,20,1496,,,../pcaps/Android9.0/com.playgendary.kickthebuddy.apk.pcap,13.32.252.130,3,,,,151.101.53.194,1,,,,
../pcaps/Android9.0/com.playgendary.tom.apk.pcap,13.32.252.130,benign,43,16207,,,../pcaps/Android9.0/com.playgendary.tanks.apk.pcap,13.32.252.130,3,,,,152.195.32.7,1,,,,
